state,county,forecast
indiana,vigo,0.667556560571705
indiana,warrick,0.684106902192576
indiana,whitley,0.661523907046233
iowa,black hawk,0.644890823802217
iowa,cerro gordo,0.667987720705654
iowa,des moines,0.675254867684027
iowa,dickinson,0.6275112436312
iowa,dubuque,0.671728936769631
iowa,linn,0.663426555005596
iowa,muscatine,0.673878328382284
iowa,story,0.674698532670302
iowa,wapello,0.683716130256653
iowa,winneshiek,0.669523120388504
iowa,woodbury,0.668159415945411
kentucky,barren,0.680801822039896
kentucky,bell,0.684912186435291
kentucky,bourbon,0.666030777570529
kentucky,boyd,0.682840982086551
kentucky,boyle,0.668051511819072
kentucky,bullitt,0.642087740953579
kentucky,calloway,0.667692290770041
kentucky,daviess,0.676452839641067
kentucky,fleming,0.649954559059318
kentucky,graves,0.6591508133631
kentucky,greenup,0.682856142520905
kentucky,hopkins,0.671130621433258
kentucky,jessamine,0.674945530230584
kentucky,kenton,0.619272928054516
kentucky,mccracken,0.666010636532748
kentucky,meade,0.671186134151128
kentucky,muhlenberg,0.672106860275555
kentucky,oldham,0.68103846723444
kentucky,simpson,0.683675773193439
maryland,prince georges,0.665772218360744
maryland,st marys,0.677710140810853
michigan,allegan,0.676842950278745
michigan,alpena,0.679590126618426
michigan,arenac,0.687306898671228
michigan,branch,0.690746208259038
michigan,delta,0.653266359309447
michigan,dickinson,0.656571659323287
michigan,eaton,0.669899113929074
michigan,emmet,0.676117418039786
michigan,genesee,0.66970126593941
michigan,grand traverse,0.656273633510143
michigan,gratiot,0.651169302718093
michigan,hillsdale,0.677267807843734
michigan,houghton,0.65704691302183
michigan,ingham,0.651229667037787
michigan,isabella,0.666454231420172
michigan,kalamazoo,0.6822434867801
michigan,kalkaska,0.650177164242999
michigan,lapeer,0.673532585059207
michigan,lenawee,0.671539168456476
michigan,macomb,0.680881389338252
michigan,midland,0.67891261018202
michigan,missaukee,0.680765384030574
michigan,montcalm,0.675537632130758
michigan,muskegon,0.650218269667468
michigan,newaygo,0.680454960823059
michigan,oakland,0.679625972842365
michigan,otsego,0.669101962806485
michigan,roscommon,0.663359679557659
michigan,saginaw,0.667665714273969
michigan,sanilac,0.672379812259814
michigan,shiawassee,0.682872148985228
michigan,st joseph,0.676275058264446
michigan,tuscola,0.676292195477906
michigan,washtenaw,0.686398245280999
michigan,wexford,0.674885883356663
minnesota,aitkin,0.656074719429016
minnesota,anoka,0.656560236470864
minnesota,becker,0.670580517594554
minnesota,beltrami,0.675145992461373
minnesota,blue earth,0.672548311251923
minnesota,carver,0.664631739077045
minnesota,crow wing,0.655387856791196
minnesota,dakota,0.672306974118247
minnesota,fillmore,0.664655767115099
minnesota,freeborn,0.643931178599114
minnesota,goodhue,0.685291535184208
minnesota,hennepin,0.671026300702066
minnesota,hubbard,0.6846678887517
minnesota,isanti,0.607417510752856
minnesota,itasca,0.682952971756458
minnesota,kandiyohi,0.675222015132507
minnesota,lyon,0.657840260437557
minnesota,mcleod,0.653455820450416
minnesota,meeker,0.669277272263511
minnesota,mille lacs,0.586770407790723
minnesota,mower,0.631887716996042
minnesota,nobles,0.665019894639651
minnesota,olmsted,0.64700552443086
minnesota,otter tail,0.664294196887219
minnesota,pine,0.672782700864514
minnesota,pipestone,0.659813941758254
minnesota,redwood,0.630838589072227
minnesota,rice,0.65421062848529
minnesota,sherburne,0.672607976503053
minnesota,st louis,0.666942208361399
minnesota,stearns,0.667517295005012
minnesota,wadena,0.547032405081249
minnesota,winona,0.662143654628726
minnesota,wright,0.67728188199977
missouri,bates,0.690897274535635
missouri,cape girardeau,0.669128512965796
missouri,cole,0.678530689296515
missouri,cooper,0.669914006664042
missouri,dunklin,0.672778854530955
missouri,howell,0.678627995714065
missouri,laclede,0.676341079201253
missouri,moniteau,0.680952757313138
missouri,new madrid,0.6831851694491
missouri,nodaway,0.672169799063386
missouri,pettis,0.673454812271338
missouri,phelps,0.665238603756025
missouri,st francois,0.678242954327233
missouri,st louis,0.676672939164669
missouri,st louis city,0.620534699184827
missouri,stoddard,0.680333020151124
missouri,taney,0.655391676231515
new jersey,atlantic,0.663507239221745
new jersey,bergen,0.652691045516058
new jersey,burlington,0.664986244846271
new jersey,cape may,0.685816662242779
new jersey,hudson,0.656572826405458
new jersey,hunterdon,0.621744325859793
