state,county,DemRepRatio
texas,montgomery,0.661548508508044
indiana,howard,0.716446611515915
north carolina,catawba,0.312225773910084
missouri,lawrence,0.225789487877889
connecticut,new london,0.581823107733087
georgia,floyd,0.298093725178713
south carolina,pickens,0.257745575304728
oklahoma,carter,0.205592440687952
,knox,0.410655667778178
ohio,fulton,0.703281181901467
missouri,greene,0.351351665939182
north carolina,surry,0.273297116590054
,buffalo,0.371718221991162
wisconsin,racine,0.4793574036201
florida,santa rosa,0.262978942255494
georgia,houston,0.374481243388396
illinois,adams,0.269156247161757
tennessee,madison,0.414480266994313
illinois,tazewell,0.321125727643581
virginia,frederick,0.50169731707575
florida,lee,0.395615183246073
,lonoke,0.226107541427122
ohio,mahoning,0.490378071190363
alabama,jefferson,0.486252586841484
minnesota,ramsey,0.314225460122699
texas,smith,0.201611098679795
north carolina,rockingham,0.31716988237379
pennsylvania,northumberland,0.420317952694843
illinois,sangamon,0.477695748129919
north carolina,johnston,0.369060278234276
georgia,catoosa,0.215956883392006
texas,jefferson,0.486252586841484
florida,st johns,0.365282958420101
,morton,0.240273037542663
illinois,knox,0.410655667778178
minnesota,scott,0.144264955943732
ohio,belmont,0.279466634044896
virginia,southampton,0.409217445097433
texas,johnson,0.215688715953307
north carolina,cleveland,0.394864587908066
,whatcom,0.62363491341717
ohio,stark,0.387508621575217
georgia,chatham,0.585304016404404
south carolina,dorchester,0.438960373855707
virginia,pulaski,0.575706029646378
,craighead,0.318071453347208
colorado,adams,0.269156247161757
illinois,champaign,0.554708356026178
texas,wise,0.188759407623209
louisiana,st mary,0.352269745473629
,lee,0.395615183246073
wisconsin,lincoln,0.273723096494823
alabama,etowah,0.245609937360654
indiana,washington,0.330211272748381
new york,wayne,0.333849362957795
north carolina,gaston,0.359314688750088
north carolina,halifax,0.531034798325288
illinois,ogle,0.367191151269668
georgia,liberty,0.547062490260246
north carolina,wilkes,0.241256298957241
georgia,henry,0.485492029030163
florida,brevard,0.416766732504377
ohio,geauga,0.383076756287945
new york,franklin,0.584962310404024
north carolina,harnett,0.385769163610966
,pulaski,0.575706029646378
florida,collier,0.37575942412052
pennsylvania,adams,0.269156247161757
north carolina,henderson,0.368624037333914
florida,martin,0.387352494027366
pennsylvania,erie,0.441151993543994
florida,bradford,0.234178153253298
indiana,white,0.188707909162099
south carolina,sumter,0.365106251924854
virginia,loudoun,0.627651274607639
pennsylvania,york,0.466274654572302
kentucky,pike,0.254942746519483
illinois,clinton,0.235749833256375
tennessee,cannon,0.195473569989149
south carolina,richland,0.303830844765927
maryland,frederick,0.50169731707575
,orleans,0.84721346795173
illinois,la salle,0.0909350057012541
georgia,cherokee,0.287308095230498
ohio,hocking,0.284937945215539
wisconsin,winnebago,0.498752150867497
,missoula,0.622015953173419
,crawford,0.260331371073636
tennessee,campbell,0.197564963410956
iowa,benton,0.370744599563111
south carolina,fairfield,0.59990218460466
north carolina,forsyth,0.477029825887617
pennsylvania,franklin,0.584962310404024
louisiana,lafourche,0.194021836405941
